Statistical profiling result from profResultNoCLG-v8.log, (11425 ticks, 15 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      5    0.0%    0.2%  LazyCompile: *functionCall /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:113:38
      5    0.0%    0.2%  LazyCompile: *PathExpression /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:289:42
      5    0.0%    0.2%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      4    0.0%    0.2%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      4    0.0%    0.2%  RegExp: ^(?:\{\{(~)?\{)
      4    0.0%    0.2%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      4    0.0%    0.2%  RegExp: ^(?:\{\{(~)?>)
      4    0.0%    0.2%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      4    0.0%    0.2%  RegExp: \r?\n\s*?$
      4    0.0%    0.2%  RegExp: (^|\r?\n)\s*?$
      4    0.0%    0.2%  LazyCompile: *template /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      4    0.0%    0.2%  LazyCompile: *setupParams /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1034:36
      4    0.0%    0.2%  LazyCompile: *replaceStack /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      4    0.0%    0.2%  LazyCompile: *preparePath /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      4    0.0%    0.2%  LazyCompile: *makeAbs /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/glob/common.js:203:18
      4    0.0%    0.2%  LazyCompile: *hasTimedOut /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/sessions.js:539:16
      4    0.0%    0.2%  LazyCompile: *each /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:91:22
      4    0.0%    0.2%  LazyCompile: *appendEscaped /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      4    0.0%    0.2%  LazyCompile: *addListener node:events:618:58
      4    0.0%    0.2%  LazyCompile: *__generator /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      4    0.0%    0.2%  LazyCompile: *WhitespaceControl.BlockStatement.WhitespaceControl.DecoratorBlock.WhitespaceControl.PartialBlockStatement /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:75:152
