Statistical profiling result from profResultCLG-v8.log, (10074 ticks, 18 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.2%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:167:47
      4    0.0%    0.2%  Function: ^update node:internal/crypto/hash:95:40
      3    0.0%    0.1%  RegExp: ^(?:null(?=([~}\s)])))
      3    0.0%    0.1%  RegExp: ^(?:false(?=([~}\s)])))
      3    0.0%    0.1%  RegExp: ^(?:\}(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      3    0.0%    0.1%  RegExp: ^(?:\.\.)
      3    0.0%    0.1%  LazyCompile: *write node:buffer:1053:40
      3    0.0%    0.1%  LazyCompile: *template /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      3    0.0%    0.1%  LazyCompile: *setupHelperArgs /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1104:44
      3    0.0%    0.1%  LazyCompile: *serializeBinary /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/bson/lib/parser/serializer.js:459:25
      3    0.0%    0.1%  LazyCompile: *resolvePath /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      3    0.0%    0.1%  LazyCompile: *pushProgram /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:615:36
      3    0.0%    0.1%  LazyCompile: *opcode /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:347:26
      3    0.0%    0.1%  LazyCompile: *onwrite node:internal/streams/writable:426:17
      3    0.0%    0.1%  LazyCompile: *now /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/utils.js:623:13
      3    0.0%    0.1%  LazyCompile: *appendEscaped /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      3    0.0%    0.1%  LazyCompile: *__awaiter /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      3    0.0%    0.1%  LazyCompile: *SourceNode_prepend /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/source-map/lib/source-node.js:197:59
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      3    0.0%    0.1%  Function: ^getStatsFromBinding node:internal/fs/utils:531:29
      3    0.0%    0.1%  Function: ^get node:internal/bootstrap/pre_execution:428:8
      3    0.0%    0.1%  Function: ^from node:buffer:298:28
      3    0.0%    0.1%  Function: ^completeEndSession /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/sessions.js:137:40
      3    0.0%    0.1%  Function: ^Minimatch /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/glob/node_modules/minimatch/minimatch.js:163:15
      2    0.0%    0.1%  RegExp: ^\.|this\b
      2    0.0%    0.1%  RegExp: ^(?:\}\}\}\})
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\*?)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      2    0.0%    0.1%  RegExp: ^(?:\s+)
      2    0.0%    0.1%  RegExp: ^(?:\()
      2    0.0%    0.1%  RegExp: ^(?:"(\\["]|[^"])*")
      2    0.0%    0.1%  RegExp: \r?\n?
      2    0.0%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
      2    0.0%    0.1%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      2    0.0%    0.1%  RegExp: ([ \t]+$)
      2    0.0%    0.1%  RegExp: (?<=\n)
      2    0.0%    0.1%  LazyCompile: *wrapper /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/wrappy/wrappy.js:19:19
      2    0.0%    0.1%  LazyCompile: *stripFlags /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:52:20
      2    0.0%    0.1%  LazyCompile: *setupHelper /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1020:36
      2    0.0%    0.1%  LazyCompile: *readableAddChunk node:internal/streams/readable:242:26
      2    0.0%    0.1%  LazyCompile: *readInt32LE node:internal/buffer:385:21
      2    0.0%    0.1%  LazyCompile: *quotedString /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      2    0.0%    0.1%  LazyCompile: *pushStackLiteral /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:877:46
      2    0.0%    0.1%  LazyCompile: *push /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      2    0.0%    0.1%  LazyCompile: *processIncomingData /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/cmap/message_stream.js:79:29
      2    0.0%    0.1%  LazyCompile: *lookupProperty /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:118:44
      2    0.0%    0.1%  LazyCompile: *lookupOnContext /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:448:44
      2    0.0%    0.1%  LazyCompile: *invokePartialWrapper /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/runtime.js:70:32
      2    0.0%    0.1%  LazyCompile: *hasTimedOut /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/sessions.js:539:16
      2    0.0%    0.1%  LazyCompile: *formatRaw node:internal/util/inspect:820:19
      2    0.0%    0.1%  LazyCompile: *dirname node:path:1275:10
      2    0.0%    0.1%  LazyCompile: *appendContent /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:375:40
      2    0.0%    0.1%  LazyCompile: *aliasable /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:1006:32
      2    0.0%    0.1%  LazyCompile: *accept /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/visitor.js:57:26
      2    0.0%    0.1%  LazyCompile: *_unrefTimer node:net:437:52
      2    0.0%    0.1%  LazyCompile: *_addListener node:events:555:22
      2    0.0%    0.1%  LazyCompile: *SubExpression /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:236:40
      2    0.0%    0.1%  LazyCompile: *Readable.read node:internal/streams/readable:402:35
      2    0.0%    0.1%  LazyCompile: *Long.add /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/bson/lib/long.js:253:35
      2    0.0%    0.1%  LazyCompile: *Long /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/bson/lib/long.js:59:18
      2    0.0%    0.1%  LazyCompile: *FastBuffer node:internal/buffer:958:14
      2    0.0%    0.1%  LazyCompile: *ContentStatement /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:228:46
      2    0.0%    0.1%  LazyCompile: *<anonymous> node:buffer:351:36
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:274:31
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:368:47
      2    0.0%    0.1%  LazyCompile: *<anonymous> /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      2    0.0%    0.1%  Function: ^writeHead /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/on-headers/index.js:28:29
      2    0.0%    0.1%  Function: ^wrapper /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/wrappy/wrappy.js:19:19
      2    0.0%    0.1%  Function: ^value node:internal/console/constructor:321:20
      2    0.0%    0.1%  Function: ^value node:internal/console/constructor:300:20
      2    0.0%    0.1%  Function: ^stat node:internal/modules/cjs/loader:151:14
      2    0.0%    0.1%  Function: ^session /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-session/index.js:179:26
      2    0.0%    0.1%  Function: ^resetBuffer node:internal/streams/writable:202:21
      2    0.0%    0.1%  Function: ^readFileSync node:fs:451:22
      2    0.0%    0.1%  Function: ^onwrite node:internal/streams/writable:426:17
      2    0.0%    0.1%  Function: ^ondata node:internal/streams/readable:775:18
      2    0.0%    0.1%  Function: ^nextDocument /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/cursor/abstract_cursor.js:473:22
      2    0.0%    0.1%  Function: ^handle /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express/lib/router/layer.js:86:49
      2    0.0%    0.1%  Function: ^get node:internal/streams/duplex:102:8
      2    0.0%    0.1%  Function: ^executeWithServerSelection /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/operations/execute_operation.js:70:36
      2    0.0%    0.1%  Function: ^createNewLookupObject /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/handlebars/dist/cjs/handlebars/internal/create-new-lookup-object.js:15:31
      2    0.0%    0.1%  Function: ^afterWrite node:internal/streams/writable:488:20
      2    0.0%    0.1%  Function: ^_initialize /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/cursor/find_cursor.js:48:16
      2    0.0%    0.1%  Function: ^__awaiter /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      2    0.0%    0.1%  Function: ^Binary /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/bson/lib/binary.js:19:20
      2    0.0%    0.1%  Function: ^BinMsg /home/zanagsu/Desktop/Coder/clase24/V3/coderhouse-desafio-16/node_modules/mongodb/lib/cmap/commands.js:546:16
      2    0.0%    0.1%  Function: ^<anonymous> :1:20
      1    0.0%    0.0%  RegExp: ^\/logout\/?$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^(?:\|)
      1    0.0%    0.0%  RegExp: ^(?:\{\{\{\{)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\s*else\b)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?#>)
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?![\s\S]*?\}\})
      1    0.0%    0.0%  RegExp: ^(?:\{\{(~)?!--)
